title,Vendor,price,rating,weight,dimension,delivery_time,delivery cost,review
Shakuntala Textiles Bridal Women's Antique Brass Purse Ethnic Handmade Metal Clutch Bag,SHAKUNTALA TEXTILES,629 rupees ,4.0 out of 5,450 g,18x6x14 cm,46 hours,99 rupees ,480 ratings
Fostelo Women's Style Diva Faux Leather Handbag (Large),FOSTELO,569 rupees ,3.8 out of 5,300 g,17x6x11 cm,46 hours,99 rupees ,"10,367 ratings"
ADISA Women's & Girls Clutch,Cocoblu Retail,498 rupees ,3.8 out of 5,340 g,2731x635x2032 cm,46 hours,99 rupees ,485 ratings
Lavie Women's Framed Foldover Clutch | Detachable Chain Sling Strap | Ladies Purse Wallet,Cocoblu Retail,449 rupees ,3.9 out of 5,300 g,26x55x11 cm,166 hours,40 rupees ,535 ratings
Lavie Women's Charmy Clutch,Cocoblu Retail,699 rupees ,3.5 out of 5,400 g,205x35x125 cm,46 hours,99 rupees ,11 ratings
Lavie Women's Oval Frame Clutch | Detachable Chain Sling Strap | Ladies Purse Wallet,Cocoblu Retail,729 rupees ,4.3 out of 5,100 g,85x35x115 cm,46 hours,99 rupees ,893 ratings
INOVERA Girls Transparent Evening Hand Clutch Women Party Wedding Purse Bag with Chain Strap,Opus_Retail,579 rupees ,4.3 out of 5,410 g,18x55x105 cm,70 hours,79 rupees ,55 ratings
INOVERA (LABEL) Women's Floral Evening Clutch Ladies Party Wedding Round Purse Bag (Rose Gold),Opus_Retail,749 rupees ,4.1 out of 5,420 g,155x55x15 cm,70 hours,79 rupees ,425 ratings
Lavie Women's Glitz Frame Clutch Bags | Detachable Chain Sling Strap | Ladies Purse Wallet,Cocoblu Retail,719 rupees ,3.9 out of 5,300 g,85x35x115 cm,94 hours,40 rupees ,362 ratings
Mammon women's evening clutch,Cocoblu Retail,369 rupees ,4.0 out of 5,250 g,1778x1016x1016 cm,286 hours,40 rupees ,794 ratings
SPOTIC Synthetic Leather Elegant Classy Gold Chain Strap Trendy Travel Top Handle Handheld Hobo Unique Design Shoulder Slingbag For Women,ROLEXO,499 rupees ,4.3 out of 5,300 g,17x6x11 cm,94 hours,40 rupees ,22 ratings
Dixon COTTON Stylish Fancy Elegant Shoulder Chain Strap Crossbody Slingbag For Women,DIXON BAG,599 rupees ,4.1 out of 5,300 g,22x3x18 cm,70 hours,79 rupees ,40 ratings
