title,Vendor,price,rating,weight,dimension,delivery_time,delivery cost,review,vendor_score,best_vendor_rank
ADISA Women's & Girls Clutch,Cocoblu Retail,498,3.8,340 g,2731x635x2032 cm,46,99,485.0,0.6886408210801189,581.0
Lavie Women's Framed Foldover Clutch | Detachable Chain Sling Strap | Ladies Purse Wallet,Cocoblu Retail,449,3.9,300 g,26x55x11 cm,166,40,535.0,0.7522492341121099,188.0
Lavie Women's Charmy Clutch,Cocoblu Retail,699,3.5,400 g,205x35x125 cm,46,99,11.0,0.5678265708206632,1560.0
Lavie Women's Oval Frame Clutch | Detachable Chain Sling Strap | Ladies Purse Wallet,Cocoblu Retail,729,4.3,100 g,85x35x115 cm,46,99,893.0,0.8004635614128958,72.0
INOVERA Girls Transparent Evening Hand Clutch Women Party Wedding Purse Bag with Chain Strap,Opus_Retail,579,4.3,410 g,18x55x105 cm,70,79,55.0,0.6539148692557446,949.0
INOVERA (LABEL) Women's Floral Evening Clutch Ladies Party Wedding Round Purse Bag (Rose Gold),Opus_Retail,749,4.1,420 g,155x55x15 cm,70,79,425.0,0.7151947837539933,346.0
Lavie Women's Glitz Frame Clutch Bags | Detachable Chain Sling Strap | Ladies Purse Wallet,Cocoblu Retail,719,3.9,300 g,85x35x115 cm,94,40,362.0,0.7510150708302651,196.0
Mammon women's evening clutch,Cocoblu Retail,369,4.0,250 g,1778x1016x1016 cm,286,40,794.0,0.7477969523516125,202.0
SPOTIC Synthetic Leather Elegant Classy Gold Chain Strap Trendy Travel Top Handle Handheld Hobo Unique Design Shoulder Slingbag For Women,ROLEXO,499,4.3,300 g,17x6x11 cm,94,40,22.0,0.7093666517624073,380.0
Dixon COTTON Stylish Fancy Elegant Shoulder Chain Strap Crossbody Slingbag For Women,DIXON BAG,599,4.1,300 g,22x3x18 cm,70,79,40.0,0.6379392181240866,1121.0
Ada Fashion Modish Sling Bag Stylish Trending Cross Body Latest Handbag For Women/Girls,Ada _Fashions,698,4.1,300 g,22x9x14 cm,94,40,1.0,0.6889194370211019,573.0
"Newphoria P15 Black Purse Women Fashion Stylish Handbags, Banquet Clutch for Girls",ACCENTSBAZAR,1549,1.0,240 g,195x169x113 cm,70,79,636.0,0.5508507218729278,1573.0
"VRITRAZ Sparkling Fancy Clutches, Evening Bridal Wedding Party Clutch Purse for Women Glitter",eshop19,599,3.7,170 g,261x117x53 cm,94,40,225.0,0.7122246370179284,364.0
INOVERA (LABEL) Women's Floral Evening Clutch Ladies Party Wedding Purse Bag (Rose Gold),Opus_Retail,749,4.2,410 g,20x5x105 cm,94,40,42.0,0.7027655089822069,437.0
EXOTIC starelipse Bridal clutch,UBIQUITOUSEXOTIC®,899,4.3,440 g,22x6x12 cm,70,79,6.0,0.6379721562374825,1120.0
ADISA Constellation formal party clutch with gold chain for women and girls,Cocoblu Retail,598,4.0,300 g,2032x508x1207 cm,70,79,35.0,0.6306688158416248,1203.0
SABYANSHI women party clutches,Ask creations,1699,3.9,450 g,186x8x28 cm,70,79,158.0,0.6301247194862197,1208.0
TOOBA Women Clutch Bag Purse,Tooba handicraft,681,3.7,300 g,17x6x11 cm,70,79,17.0,0.6066848947978922,1410.0
Trend Overseas Antique Indian art Handmade Stone mosaic metal bag Women/Girls Bridal metal clutch party sling bag,Trend Overseas,999,3.8,300 g,17x6x11 cm,46,99,763.0,0.7373493843234671,239.0
Lavie Women's Bow Frame Clutch Bags | Detachable Chain Sling Strap | Ladies Purse Wallet,Cocoblu Retail,729,4.3,100 g,85x35x115 cm,118,40,7.0,0.6889201309353591,571.0
DOSYSO Rhinestone Crossbody sling Bag with Chain strap side Bag Evening Clutch Pearl Handle Designer Handbags for Women Stylish Latest Girls Glitter Ladies Purse for Party Wedding,DOSYSO CREATIONS,749,5.0,350 g,18x6x13 cm,46,99,66.0,0.6585987617869491,914.0
ADISA women girls laser cut crossbody sling bag with gold chain,Cocoblu Retail,399,4.1,360 g,1803x762x1397 cm,46,99,40.0,0.6167552111080981,1347.0
Lavie Women's Shimmer Oval Frame Clutch | Ladies Purse Handbag,Cocoblu Retail,699,4.0,350 g,20x5x11 cm,94,40,75.0,0.6980200573720995,484.0
Peora Clutch Purses for Women Wedding Handmade Evening Handbags Party Bridal Clutch,M.K.ENT.,1249,3.8,185 g,24x15x155 cm,94,40,115.0,0.6839168059763229,633.0
DUCHESS Women's Clutches,DUCHESS,799,4.4,245 g,1778x508x1016 cm,46,99,19.0,0.623936113708583,1280.0
NORVE PU Clutch Purses for Women Wedding Handmade Evening Sidebags Party Bridal Clutch,KWALITY BAG,490,3.9,450 g,1778x508x1016 cm,70,79,666.0,0.7574137078611969,173.0
Kuber Industries Women's Utility (Maroon),ETrade Online,342,3.6,300 g,17x6x11 cm,70,79,244.0,0.6536877837640227,954.0
Lavie Tinkle Framed,LAVIE*,729,3.9,300 g,20x3x12 cm,46,99,32.0,0.5966473620359488,1487.0
TOOBA Women's Handcrafted Beautiful Bling Box Clutch Bag,Tooba handicraft,495,4.1,350 g,18x6x12 cm,70,79,714.0,0.7797924586296843,111.0
ADISA CL005 formal women girls clutch,Cocoblu Retail,498,4.0,250 g,298x32x178 cm,70,79,42.0,0.6339245377512129,1167.0
EXOTIC starelipse Bridal clutch,UBIQUITOUSEXOTIC®,899,4.3,440 g,22x6x12 cm,70,79,497.0,0.7399451572759042,229.0
Lavie Women's Oval Frame Clutch | Detachable Chain Sling Strap | Ladies Purse Wallet,Cocoblu Retail,729,4.3,100 g,85x35x115 cm,214,40,72.0,0.6496723589773068,993.0
TOOBA Classy Party Girl's Clutch (White),Tooba handicraft,599,3.6,200 g,17x6x11 cm,70,79,66.0,0.5985895296505663,1474.0
ADISA women girls party crossbody sling bag with gold chain,Cocoblu Retail,498,4.0,350 g,2159x889x1651 cm,46,99,119.0,0.6251283600209289,1264.0
Duchess Women's Hand Embroidered Clutches,DUCHESS,1099,4.2,300 g,17x6x11 cm,70,79,188.0,0.6659168391057415,834.0
Lavie Women's Amara Round Potli | Ladies Purse Handbag,Cocoblu Retail,349,3.8,200 g,22x1x23 cm,46,99,10.0,0.592675647348458,1507.0
Lavie Women's Vertical Cheer Frame Clutch,Cocoblu Retail,749,4.3,400 g,20x5x115 cm,70,79,24.0,0.6444133715006184,1039.0
"JAMBHALA Women Evening Clutch Bag Satin Purses with Detachable Strap for Wedding, Party, Prom",Jambhala,1390,3.7,270 g,208x14x8 cm,70,79,36.0,0.5978552013291104,1477.0
Ada Fashion Modish Sling Bag Stylish Trending Cross Body Latest Handbag For Women/Girls,Ada _Fashions,597,4.1,300 g,22x9x14 cm,46,99,444.0,0.6970918516128874,495.0
AILTINO Women's Oval Frame Clutch | Detachable Sling Chain | Ladies Party Wedding Purse Bag,Digrwal,349,3.9,300 g,18x12x6 cm,70,79,55.0,0.633059312098472,1180.0
AILTINO Women's Oval Frame Clutch | Detachable Sling Chain | Ladies Party Wedding Purse Bag,Digrwal,349,4.0,300 g,18x11x6 cm,118,40,646.0,0.8097277516580449,49.0
"Kuber Industries Women's Polyester Embroidered Potli Bag, Maroon (CTKTC04387)",ETrade Online,699,3.2,300 g,17x6x11 cm,46,99,4.0,0.5476227805818262,1575.0
Oh-Teri Women's Handbag,Delmah Enterprises.,499,3.5,200 g,30x10x15 cm,94,40,5.0,0.6558360183252319,935.0
"GM CREATIONS Women & Girl Latest Trendy Wedding Event, Evening Party Hand carry Purse Bride Party Clutch Bag stylish Elegant Party Hand Clutch Bag",GM PRODUCT,439,4.3,290 g,28x4x14 cm,70,79,142.0,0.6745061094203412,740.0
ADISA Studded formal party clutch with gold chain for women and girls,Cocoblu Retail,698,4.7,300 g,2032x508x1207 cm,94,40,56.0,0.7378420746119638,236.0
Craft Trade Clutch Bags for Women Rajasthani Jaipuri Embroidered Mirror Work Ethnic Hand Bags and Clutches for Ladies Purse for Girls - 13x25 Cms,CRAFT TRADE,249,3.6,160 g,25x2x13 cm,46,99,66.0,0.5801084201407043,1536.0
EXOTIC Party bags,UBIQUITOUSEXOTIC®,799,4.2,385 g,20x45x14 cm,94,40,75.0,0.7087181257013484,385.0
